occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,75.00,86.84,8.97,80.92,73.66
Purchasing manager,Training and development specialist,47.7,56.7,100.00,70.00,-5.00,85.00,80.75
Web developer,Graphic designer,19.4,54.7,85.00,97.30,6.49,91.15,85.23
Purchasing manager,Social and community service manager,47.7,71.7,100.00,87.50,2.50,93.75,91.41
Chemical engineer,Biological scientist,21.6,55.0,45.00,100.00,3.90,72.50,69.68
Dentist,Dental hygienist,39.5,95.7,81.58,100.00,24.39,90.79,68.65
Software quality tester,Operations research analyst,44.1,55.0,25.00,95.00,3.75,60.00,57.75
Web and digital interface designer,Graphic designer,42.7,54.7,75.00,64.86,9.09,69.93,63.57
Information security analyst,Training and development specialist,19.3,56.7,100.00,85.00,-2.50,92.50,90.19
Software developer,Graphic designer,20.2,54.7,92.50,91.89,0.00,92.20,92.20
Architectural and engineering manager,Social and community service manager,12.8,71.7,100.00,55.00,10.00,77.50,69.75
Web and digital interface designer,Operations research analyst,42.7,55.0,100.00,97.50,0.00,98.75,98.75
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,96.43,45.45,-2.56,70.94,69.12
Lawyer,Paralegal,39.5,83.0,100.00,25.00,5.00,62.50,59.38
Architectural and engineering manager,Operations research analyst,12.8,55.0,97.50,70.00,6.25,83.75,78.52
Operation manager,Social and community service manager,37.1,71.7,100.00,80.00,-1.25,90.00,88.88
Industrial production manager,Social and community service manager,19.1,71.7,97.50,82.50,5.00,90.00,85.50
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,67.86,40.00,14.71,53.93,46.00
Property assessor,Insurance underwriter,34.2,56.9,20.00,97.50,6.25,58.75,55.08
Operation manager,Human resources worker,37.1,76.5,100.00,57.50,16.25,78.75,65.95
Computer systems analyst,Operations research analyst,37.8,55.0,97.50,37.50,-2.50,67.50,65.81
Building cleaner,Housekeeping cleaner,38.7,88.4,18.18,92.50,6.85,55.34,51.55
Postsecondary teacher,School psychologist,46.6,87.9,97.50,15.62,1.39,56.56,55.78
Industrial production manager,Accountant,19.1,57.0,100.00,97.50,1.25,98.75,97.52
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,97.50,95.00,5.00,96.25,91.44
Facilities manager,Social and human service assistant,23.4,75.3,95.00,90.00,8.75,92.50,84.41
Chemical technician,Medical scientist,35.0,51.8,25.00,100.00,0.00,62.50,62.50
Counter and rental clerk,Order clerk,38.7,58.3,93.75,90.62,-4.17,92.19,88.35
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,97.50,79.31,5.80,88.41,83.28
Chemical technician,Biological scientist,35.0,55.0,39.29,97.30,9.23,68.29,61.99
Cost estimator,Accountant,17.7,57.0,70.00,100.00,3.75,85.00,81.81
Postsecondary teacher,Teaching assistant,46.6,79.5,97.50,12.50,-2.50,55.00,53.62
Food service manager,Food preparation worker,46.7,58.7,80.00,100.00,1.25,90.00,88.88
Operation manager,Accountant,37.1,57.0,80.00,100.00,0.00,90.00,90.00
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,57.14,78.26,29.41,67.70,47.79
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,46.43,90.91,0.00,68.67,68.67
Software developer,Advertising sales agent,20.2,52.7,100.00,96.15,1.52,98.08,96.59
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,80.56,74.07,-11.11,77.31,68.72
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,53.57,94.74,10.61,74.15,66.29
Cost estimator,Insurance underwriter,17.7,56.9,27.50,100.00,10.00,63.75,57.38
Materials engineer,Medical scientist,13.5,51.8,75.00,100.00,-5.13,87.50,83.01
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,78.57,97.50,5.88,88.04,82.86
Property assessor,Accountant,34.2,57.0,90.00,90.00,6.25,90.00,84.38
Postsecondary teacher,Special education teacher,46.6,86.6,97.50,50.00,-2.78,73.75,71.70
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,47.22,100.00,0.00,73.61,73.61
Painter,Artist,10.4,51.6,45.71,70.00,10.67,57.86,51.69
Software developer,Accountant,20.2,57.0,100.00,100.00,-1.25,100.00,98.75
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,85.00,57.89,-1.28,71.45,70.53
Operation manager,Compliance officer,37.1,51.8,40.00,100.00,7.50,70.00,64.75
Chemists and materials scientist,Medical scientist,36.0,51.8,15.62,86.84,-4.29,51.23,49.04
Materials engineer,Biological scientist,13.5,55.0,87.50,97.30,-1.30,92.40,91.20
Web and digital interface designer,Advertising sales agent,42.7,52.7,100.00,61.54,-3.03,80.77,78.32
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,97.50,71.05,7.69,84.28,77.79
Property assessor,Tax preparer,34.2,66.3,55.00,94.59,20.78,74.80,59.26
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,93.75,82.61,5.13,88.18,83.66
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,53.57,100.00,5.56,76.79,72.52
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,64.29,93.75,6.67,79.02,73.75
Operation manager,Public relations specialist,37.1,76.2,82.50,100.00,6.25,91.25,85.55
Property assessor,Real estate broker,34.2,57.0,27.50,100.00,1.25,63.75,62.95
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,57.14,100.00,7.14,78.57,72.96
Software developer,Insurance claims and policy processing clerk,20.2,80.1,92.50,71.05,7.69,81.78,75.49
Information security analyst,Insurance underwriter,19.3,56.9,75.00,100.00,1.25,87.50,86.41
Information security analyst,Accountant,19.3,57.0,90.00,97.50,-2.50,93.75,91.41
Web developer,Advertising sales agent,19.4,52.7,100.00,100.00,-4.55,100.00,95.45
Postsecondary teacher,Public relations specialist,46.6,76.2,87.50,100.00,3.75,93.75,90.23
Computer support specialist,Customer service representative,26.2,65.3,70.00,100.00,13.24,85.00,73.75
Software developer,Customer service representative,20.2,65.3,92.50,96.43,8.82,94.46,86.13
Chemists and materials scientist,Biological scientist,36.0,55.0,53.12,40.54,-4.35,46.83,44.80
Surgeon,Medical scientist,20.0,51.8,96.77,86.84,2.90,91.81,89.15
Operation manager,Insurance underwriter,37.1,56.9,30.00,100.00,6.25,65.00,60.94
Postsecondary teacher,Social and community service manager,46.6,71.7,100.00,87.50,0.00,93.75,93.75
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,92.50,78.26,6.35,85.38,79.96
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,100.00,47.50,-2.50,73.75,71.91
Information security analyst,Executive secretary,19.3,90.0,70.00,100.00,20.31,85.00,67.73
Property assessor,Loan officer,34.2,51.6,42.50,94.87,2.53,68.69,66.95
Software developer,Insurance sales agent,20.2,54.9,97.50,100.00,3.23,98.75,95.56
Lawyer,Accountant,39.5,57.0,100.00,67.50,2.50,83.75,81.66
Information security analyst,Social and community service manager,19.3,71.7,100.00,87.50,0.00,93.75,93.75
Information security analyst,Public relations specialist,19.3,76.2,92.50,100.00,5.00,96.25,91.44
Software developer,Public relations specialist,20.2,76.2,97.50,95.00,5.00,96.25,91.44
Cook,Baker,39.8,65.5,97.50,100.00,0.00,98.75,98.75
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,83.33,78.26,-1.69,80.80,79.43
Postsecondary teacher,Social and human service assistant,46.6,75.3,97.50,97.50,1.25,97.50,96.28
Lawyer,Legal secretary,39.5,96.4,97.50,37.93,17.39,67.72,55.94
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,54.55,100.00,0.00,77.27,77.27
Chemical technician,Miscellaneous health technician,35.0,72.7,100.00,90.48,0.00,95.24,95.24
Property assessor,Social and community service manager,34.2,71.7,92.50,60.00,6.25,76.25,71.48
Mechanical engineer,Biological scientist,10.1,55.0,100.00,100.00,1.30,100.00,98.70
Web developer,Customer service representative,19.4,65.3,82.50,100.00,4.41,91.25,87.22
Web and digital interface designer,Customer service representative,42.7,65.3,100.00,100.00,0.00,100.00,100.00
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,100.00,70.00,0.00,85.00,85.00
Personal financial advisor,Loan officer,32.6,51.6,100.00,33.33,-2.53,66.67,64.98
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,100.00,63.64,-8.51,81.82,74.85
Software quality tester,Customer service representative,44.1,65.3,90.00,100.00,5.88,95.00,89.41
Postsecondary teacher,Insurance underwriter,46.6,56.9,87.50,100.00,1.25,93.75,92.58
Web and digital interface designer,Social and community service manager,42.7,71.7,100.00,82.50,3.75,91.25,87.83
Software developer,Insurance underwriter,20.2,56.9,87.50,100.00,5.00,93.75,89.06
Property assessor,Insurance sales agent,34.2,54.9,40.00,100.00,4.84,70.00,66.61
Software quality tester,Graphic designer,44.1,54.7,70.00,100.00,-1.30,85.00,83.90
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,55.00,78.95,11.54,66.97,59.25
Chemical technician,Ophthalmic medical technician,35.0,73.7,100.00,100.00,-2.56,100.00,97.44
Lawyer,Insurance underwriter,39.5,56.9,100.00,65.00,-2.50,82.50,80.44
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,100.00,78.26,1.59,89.13,87.72
