occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,-1.95,-3.47,100.00,100.00,0.76,100.00,99.24
Purchasing manager,Training and development specialist,47.7,56.7,86.71,-1.94,-0.22,100.00,97.50,-0.86,98.75,97.90
Web developer,Graphic designer,19.4,54.7,86.62,1.76,-1.72,100.00,51.35,1.74,75.68,74.36
Purchasing manager,Social and community service manager,47.7,71.7,86.53,-1.14,-4.01,100.00,100.00,1.44,100.00,98.56
Chemical engineer,Biological scientist,21.6,55.0,86.36,0.59,-3.63,97.50,100.00,2.11,98.75,96.66
Dentist,Dental hygienist,39.5,95.7,86.25,7.07,-8.03,26.32,66.67,7.55,46.49,42.98
Software quality tester,Operations research analyst,44.1,55.0,86.23,-1.46,-3.10,100.00,100.00,0.82,100.00,99.18
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,2.94,0.18,42.50,89.19,1.38,65.84,64.94
Information security analyst,Training and development specialist,19.3,56.7,85.97,-2.62,-2.94,100.00,100.00,0.16,100.00,99.84
Software developer,Graphic designer,20.2,54.7,85.82,1.54,-2.31,90.00,97.30,1.92,93.65,91.85
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,-0.21,-5.15,100.00,100.00,2.47,100.00,97.53
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,1.75,-5.63,100.00,100.00,3.69,100.00,96.31
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,-0.43,-2.27,100.00,100.00,0.92,100.00,99.08
Lawyer,Paralegal,39.5,83.0,85.66,5.27,-4.43,57.50,30.00,4.85,43.75,41.63
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,-0.94,-4.49,100.00,100.00,1.78,100.00,98.22
Operation manager,Social and community service manager,37.1,71.7,85.47,-2.25,-2.01,100.00,100.00,-0.12,100.00,99.88
Industrial production manager,Social and community service manager,19.1,71.7,85.20,-2.78,-4.59,100.00,100.00,0.91,100.00,99.09
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,-0.66,-0.11,100.00,100.00,-0.27,100.00,99.73
Property assessor,Insurance underwriter,34.2,56.9,85.13,-1.02,-2.27,100.00,100.00,0.63,100.00,99.37
Operation manager,Human resources worker,37.1,76.5,84.98,-2.93,-0.52,100.00,100.00,-1.21,100.00,98.79
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,-1.23,-3.16,100.00,100.00,0.96,100.00,99.04
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,1.96,-7.43,78.79,62.50,4.70,70.64,67.33
Postsecondary teacher,School psychologist,46.6,87.9,84.73,-1.64,0.35,95.00,31.25,-0.99,63.12,62.50
Industrial production manager,Accountant,19.1,57.0,84.49,-4.64,-2.52,97.50,97.50,-1.06,97.50,96.47
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,1.20,-2.06,100.00,100.00,1.63,100.00,98.37
Facilities manager,Social and human service assistant,23.4,75.3,84.45,-0.47,-5.08,100.00,92.50,2.30,96.25,94.03
Chemical technician,Medical scientist,35.0,51.8,84.20,-5.21,4.89,100.00,94.74,-5.05,97.37,92.45
Counter and rental clerk,Order clerk,38.7,58.3,84.14,0.30,-0.33,100.00,93.75,0.32,96.88,96.57
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,1.66,-3.74,100.00,100.00,2.70,100.00,97.30
Chemical technician,Biological scientist,35.0,55.0,83.89,-1.36,-0.55,100.00,100.00,-0.41,100.00,99.59
Cost estimator,Accountant,17.7,57.0,83.72,-0.59,-1.54,65.00,85.00,0.47,75.00,74.64
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,0.82,-1.45,57.50,87.50,1.14,72.50,71.67
Food service manager,Food preparation worker,46.7,58.7,83.62,1.45,-2.52,100.00,100.00,1.98,100.00,98.02
Operation manager,Accountant,37.1,57.0,83.57,-5.84,-1.83,77.50,100.00,-2.00,88.75,86.97
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,-0.86,-2.00,100.00,100.00,0.57,100.00,99.43
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,-3.27,-1.01,100.00,100.00,-1.13,100.00,98.87
Software developer,Advertising sales agent,20.2,52.7,83.02,-0.46,-7.75,100.00,92.31,3.64,96.15,92.65
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,-1.50,-4.55,100.00,100.00,1.53,100.00,98.47
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,-1.65,-2.88,100.00,100.00,0.62,100.00,99.38
Cost estimator,Insurance underwriter,17.7,56.9,82.88,-1.09,-1.93,100.00,100.00,0.42,100.00,99.58
Materials engineer,Medical scientist,13.5,51.8,82.86,-1.24,0.32,92.50,100.00,-0.78,96.25,95.50
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,-0.27,-2.23,100.00,100.00,0.98,100.00,99.02
Property assessor,Accountant,34.2,57.0,82.77,-1.45,-4.51,75.00,100.00,1.53,87.50,86.16
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,0.98,0.17,100.00,78.12,0.41,89.06,88.70
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,-0.02,-1.48,72.22,100.00,0.73,86.11,85.48
Painter,Artist,10.4,51.6,82.54,4.54,-2.05,77.14,92.50,3.29,84.82,82.03
Software developer,Accountant,20.2,57.0,82.50,-2.17,-5.12,100.00,95.00,1.48,97.50,96.06
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,-1.98,-2.55,100.00,100.00,0.29,100.00,99.71
Operation manager,Compliance officer,37.1,51.8,82.41,-1.01,-1.40,92.50,100.00,0.20,96.25,96.06
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,-4.84,2.93,100.00,100.00,-3.88,100.00,96.12
Materials engineer,Biological scientist,13.5,55.0,82.14,0.68,-3.15,87.50,100.00,1.92,93.75,91.95
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,0.66,-4.03,100.00,100.00,2.34,100.00,97.66
