occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,2.78,1.61,100.00,95.00,0.59,97.50,96.93
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,0.14,-0.44,100.00,100.00,0.29,100.00,99.71
Postsecondary teacher,School psychologist,46.6,87.9,84.73,0.64,1.10,100.00,100.00,-0.23,100.00,99.77
Industrial production manager,Accountant,19.1,57.0,84.49,1.29,1.78,100.00,100.00,-0.24,100.00,99.76
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,2.62,-1.24,100.00,100.00,1.93,100.00,98.07
Facilities manager,Social and human service assistant,23.4,75.3,84.45,0.47,-0.13,100.00,97.50,0.30,98.75,98.45
Chemical technician,Medical scientist,35.0,51.8,84.20,1.48,1.02,100.00,100.00,0.23,100.00,99.77
Counter and rental clerk,Order clerk,38.7,58.3,84.14,-1.95,0.97,100.00,100.00,-1.46,100.00,98.54
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,0.71,0.91,100.00,100.00,-0.10,100.00,99.90
Chemical technician,Biological scientist,35.0,55.0,83.89,2.58,-0.42,92.86,100.00,1.50,96.43,94.98
Cost estimator,Accountant,17.7,57.0,83.72,3.19,2.17,100.00,100.00,0.51,100.00,99.49
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,-0.13,1.39,100.00,97.50,-0.76,98.75,98.00
Food service manager,Food preparation worker,46.7,58.7,83.62,0.26,-0.08,100.00,100.00,0.17,100.00,99.83
Operation manager,Accountant,37.1,57.0,83.57,0.02,2.35,100.00,100.00,-1.16,100.00,98.84
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,-0.13,0.65,100.00,100.00,-0.39,100.00,99.61
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,-0.76,3.03,100.00,90.91,-1.89,95.45,93.65
Software developer,Advertising sales agent,20.2,52.7,83.02,3.71,1.34,100.00,84.62,1.18,92.31,91.22
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,-0.42,-1.43,100.00,100.00,0.50,100.00,99.50
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,0.26,0.94,100.00,100.00,-0.34,100.00,99.66
Cost estimator,Insurance underwriter,17.7,56.9,82.88,1.88,2.26,100.00,100.00,-0.19,100.00,99.81
Materials engineer,Medical scientist,13.5,51.8,82.86,1.61,2.20,100.00,97.37,-0.30,98.68,98.39
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,0.44,1.83,100.00,52.50,-0.69,76.25,75.72
Property assessor,Accountant,34.2,57.0,82.77,3.84,1.76,92.50,100.00,1.04,96.25,95.25
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,0.79,0.64,100.00,100.00,0.07,100.00,99.93
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,0.07,0.82,100.00,100.00,-0.37,100.00,99.63
Painter,Artist,10.4,51.6,82.54,1.74,2.00,100.00,100.00,-0.13,100.00,99.87
Software developer,Accountant,20.2,57.0,82.50,3.29,2.39,100.00,80.00,0.45,90.00,89.60
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,2.44,1.02,100.00,100.00,0.71,100.00,99.29
Operation manager,Compliance officer,37.1,51.8,82.41,0.37,1.32,100.00,100.00,-0.48,100.00,99.52
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,2.09,2.51,100.00,50.00,-0.21,75.00,74.84
Materials engineer,Biological scientist,13.5,55.0,82.14,1.67,0.58,100.00,100.00,0.55,100.00,99.45
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,-0.62,1.79,100.00,53.85,-1.21,76.92,75.99
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,-0.51,0.73,100.00,94.74,-0.62,97.37,96.76
Property assessor,Tax preparer,34.2,66.3,81.93,4.19,-0.32,85.00,100.00,2.26,92.50,90.41
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,-2.74,-0.56,100.00,100.00,-1.09,100.00,98.91
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,-0.15,2.14,100.00,100.00,-1.15,100.00,98.85
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,0.48,1.03,96.43,100.00,-0.28,98.21,97.94
