occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Cost estimator,Loan officer,17.7,51.6,42.50,100.00,10.13,71.25,64.03
Chemical technician,Pharmacy technician,35.0,79.3,89.29,100.00,0.00,94.64,94.64
Chemical technician,Medical appliance technician,35.0,58.9,100.00,95.00,-4.41,97.50,93.20
Web developer,Receptionist,19.4,89.1,87.50,100.00,5.88,93.75,88.24
Chief executive,Compliance officer,30.6,51.8,92.50,97.50,8.75,95.00,86.69
Counter and rental clerk,File Clerk,38.7,76.0,100.00,100.00,-2.44,100.00,97.56
Director,Editor,43.6,56.6,92.50,77.50,2.50,85.00,82.88
Software quality tester,Loan interviewer,44.1,76.9,72.50,100.00,4.62,86.25,82.27
Occupational health and safety specialist,Medical and health services manager,17.9,71.8,97.50,100.00,1.25,98.75,97.52
Counter and rental clerk,Postal service clerk,38.7,54.1,100.00,89.47,2.86,94.74,92.03
Food service manager,Social and human service assistant,46.7,75.3,100.00,97.50,-1.25,98.75,97.52
Actor,Artist,47.0,51.6,100.00,95.00,3.75,97.50,93.84
Computer systems manager,Executive secretary,27.7,90.0,70.00,100.00,23.44,85.00,65.08
First-line supervisor of production and operating workers,Order clerk,23.5,58.3,92.59,90.62,8.47,91.61,83.85
First-line supervisor of security workers,Compliance officer,22.5,51.8,77.50,80.00,10.00,78.75,70.88
Food service manager,Medical and health services manager,46.7,71.8,95.00,100.00,-1.25,97.50,96.28
Personal financial advisor,Tax preparer,32.6,66.3,100.00,48.65,1.30,74.32,73.36
Computer systems manager,Loan officer,27.7,51.6,92.50,89.74,0.00,91.12,91.12
Personal financial advisor,Fundraiser,32.6,74.9,100.00,0.00,-2.50,50.00,48.75
Database administrator,Loan officer,30.8,51.6,80.00,100.00,-1.27,90.00,88.86
First-line supervisor of production and operating workers,Filling machine operator,23.5,57.3,88.89,80.00,-2.99,84.44,81.92
Software quality tester,Public relations specialist,44.1,76.2,72.50,100.00,11.25,86.25,76.55
Chemical technician,Medical assistant,35.0,88.8,100.00,100.00,0.00,100.00,100.00
Database administrator,Customer service representative,30.8,65.3,97.50,100.00,1.47,98.75,97.30
Electrical and electronic engineering technician,Insurance claims and policy processing clerk,11.6,80.1,100.00,100.00,3.85,100.00,96.15
Occupational health and safety specialist,Social and human service assistant,17.9,75.3,100.00,95.00,1.25,97.50,96.28
Database administrator,Advertising sales agent,30.8,52.7,97.50,92.31,1.52,94.90,93.47
Mechanical engineer,Filling machine operator,10.1,57.3,100.00,50.00,-7.50,75.00,69.38
Cutting worker,Filling machine operator,31.1,57.3,95.00,90.00,2.50,92.50,90.19
Counter and rental clerk,Customer service representative,38.7,65.3,75.00,100.00,4.55,87.50,83.52
Counter and rental clerk,Cashier,38.7,69.8,43.75,100.00,5.77,71.88,67.73
