occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,11.34,-10.74,15.00,100.00,11.04,57.50,51.15
Information security analyst,Administrative services manager,19.3,74.0,88.53,3.35,-10.78,5.00,100.00,7.07,52.50,48.79
Industrial production manager,Operations research analyst,19.1,55.0,88.39,-5.29,-2.26,42.50,90.00,-1.51,66.25,65.25
Facilities manager,Financial manager,23.4,56.2,88.37,-10.23,-0.58,40.00,97.50,-4.83,68.75,65.43
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,4.55,-6.60,42.50,65.00,5.58,53.75,50.75
Industrial production manager,Public relations manager,19.1,66.4,88.35,2.75,-8.94,17.50,97.50,5.85,57.50,54.14
Project management specialist,Public relations specialist,47.3,76.2,88.35,-2.27,-2.21,95.00,77.50,-0.03,86.25,86.23
Industrial production manager,Administrative services manager,19.1,74.0,88.30,5.03,-10.73,10.00,100.00,7.88,55.00,50.66
Facilities manager,Marketing specialist,23.4,61.7,88.28,-4.35,-3.22,32.50,95.00,-0.56,63.75,63.39
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,6.94,-6.12,60.00,45.00,6.53,52.50,49.07
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,0.68,-10.99,0.00,55.56,5.84,27.78,26.16
Operation manager,Marketing manager,37.1,62.4,88.12,-3.91,1.52,30.00,85.00,-2.71,57.50,55.94
Industrial production manager,Training and development specialist,19.1,56.7,88.10,4.50,-7.89,25.00,92.50,6.20,58.75,55.11
Purchasing manager,Accountant,47.7,57.0,88.07,-5.55,-2.92,50.00,52.50,-1.32,51.25,50.58
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,8.41,-9.65,87.50,15.00,9.03,51.25,46.62
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,6.32,-12.89,67.50,45.00,9.60,56.25,50.85
Chemical engineer,Medical scientist,21.6,51.8,87.70,3.86,0.90,0.00,100.00,1.48,50.00,49.26
Operation manager,Human resources manager,37.1,76.5,87.61,1.70,0.81,57.50,27.50,0.45,42.50,42.31
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,17.56,-23.74,72.50,67.50,20.65,70.00,55.54
Operation manager,Public relations manager,37.1,66.4,87.47,-1.07,-1.06,72.50,37.50,-0.00,55.00,55.00
Training and development manager,Social and community service manager,48.0,71.7,87.29,1.39,-0.75,92.50,15.00,1.07,53.75,53.17
Financial and investment analyst,Accountant,43.9,57.0,87.27,3.60,-4.38,60.00,62.50,3.99,61.25,58.80
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,9.42,-14.17,42.50,87.50,11.80,65.00,57.33
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,5.55,-10.38,92.50,7.89,7.97,50.20,46.20
Purchasing manager,Training and development specialist,47.7,56.7,86.71,-1.91,-3.20,100.00,25.00,0.64,62.50,62.10
Web developer,Graphic designer,19.4,54.7,86.62,0.39,-4.03,92.50,43.24,2.21,67.87,66.37
Purchasing manager,Social and community service manager,47.7,71.7,86.53,1.08,-1.38,100.00,20.00,1.23,60.00,59.26
Chemical engineer,Biological scientist,21.6,55.0,86.36,-2.28,-1.37,0.00,83.78,-0.46,41.89,41.70
Dentist,Dental hygienist,39.5,95.7,86.25,26.05,-23.18,63.16,0.00,24.61,31.58,23.81
Software quality tester,Operations research analyst,44.1,55.0,86.23,-3.96,-0.69,2.50,100.00,-1.63,51.25,50.41
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,-0.68,1.55,22.50,24.32,-1.12,23.41,23.15
Information security analyst,Training and development specialist,19.3,56.7,85.97,0.59,-7.51,2.50,100.00,4.05,51.25,49.18
Software developer,Graphic designer,20.2,54.7,85.82,-6.44,-1.55,97.50,40.54,-2.44,69.02,67.33
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,9.50,-12.47,87.50,50.00,10.99,68.75,61.20
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,12.47,-5.76,47.50,100.00,9.11,73.75,67.03
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,4.38,-11.90,10.71,45.45,8.14,28.08,25.80
Lawyer,Paralegal,39.5,83.0,85.66,15.57,-7.59,85.00,0.00,11.58,42.50,37.58
