occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Dentist,Dental hygienist,39.5,95.7,86.25,14.41,-11.01,92.11,100.00,12.71,96.05,83.84
Software quality tester,Operations research analyst,44.1,55.0,86.23,-10.54,7.96,27.50,100.00,-9.25,63.75,57.85
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,0.10,-1.19,100.00,91.89,0.65,95.95,95.33
Information security analyst,Training and development specialist,19.3,56.7,85.97,2.28,-6.44,12.50,100.00,4.36,56.25,53.80
Software developer,Graphic designer,20.2,54.7,85.82,-2.33,2.39,100.00,40.54,-2.36,70.27,68.61
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,14.46,-16.48,80.00,62.50,15.47,71.25,60.23
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,-2.13,-2.04,60.00,100.00,-0.05,80.00,79.96
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,8.33,-7.32,89.29,90.91,7.82,90.10,83.05
Lawyer,Paralegal,39.5,83.0,85.66,6.39,-20.50,100.00,55.00,13.44,77.50,67.08
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,5.51,-3.20,80.00,95.00,4.36,87.50,83.69
Operation manager,Social and community service manager,37.1,71.7,85.47,3.78,-5.81,100.00,10.00,4.80,55.00,52.36
Industrial production manager,Social and community service manager,19.1,71.7,85.20,4.42,-10.42,82.50,77.50,7.42,80.00,74.06
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,9.99,-10.37,25.00,100.00,10.18,62.50,56.14
Property assessor,Insurance underwriter,34.2,56.9,85.13,-1.91,2.27,2.50,100.00,-2.09,51.25,50.18
Operation manager,Human resources worker,37.1,76.5,84.98,4.62,-11.32,100.00,60.00,7.97,80.00,73.62
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,3.72,-3.86,100.00,15.00,3.79,57.50,55.32
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,10.03,-6.55,87.88,77.50,8.29,82.69,75.84
Postsecondary teacher,School psychologist,46.6,87.9,84.73,0.86,-0.60,100.00,18.75,0.73,59.38,58.94
Industrial production manager,Accountant,19.1,57.0,84.49,4.72,-0.15,52.50,100.00,2.43,76.25,74.39
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,-2.30,-3.34,100.00,37.50,0.52,68.75,68.39
Facilities manager,Social and human service assistant,23.4,75.3,84.45,13.10,-9.76,87.50,57.50,11.43,72.50,64.21
Chemical technician,Medical scientist,35.0,51.8,84.20,-3.95,4.16,75.00,100.00,-4.05,87.50,83.95
Counter and rental clerk,Order clerk,38.7,58.3,84.14,-2.16,-3.44,100.00,90.62,0.64,95.31,94.70
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,-0.54,-1.13,100.00,86.21,0.29,93.10,92.83
Chemical technician,Biological scientist,35.0,55.0,83.89,-5.15,6.44,60.71,100.00,-5.80,80.36,75.70
Cost estimator,Accountant,17.7,57.0,83.72,-3.49,2.61,17.50,100.00,-3.05,58.75,56.96
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,1.29,-3.08,100.00,35.00,2.18,67.50,66.03
Food service manager,Food preparation worker,46.7,58.7,83.62,-4.66,3.49,40.00,100.00,-4.07,70.00,67.15
Operation manager,Accountant,37.1,57.0,83.57,-2.44,7.67,95.00,87.50,-5.05,91.25,86.64
