occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Project management specialist,Public relations specialist,47.3,76.2,88.35,10.04,-12.08,77.50,77.50,11.06,77.50,68.93
Industrial production manager,Administrative services manager,19.1,74.0,88.30,9.92,-16.52,10.00,100.00,13.22,55.00,47.73
Facilities manager,Marketing specialist,23.4,61.7,88.28,5.63,-8.71,35.00,80.00,7.17,57.50,53.38
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,16.78,-15.57,45.00,45.00,16.18,45.00,37.72
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,5.95,-8.09,0.00,55.56,7.02,27.78,25.83
Operation manager,Marketing manager,37.1,62.4,88.12,-0.77,-3.53,37.50,42.50,1.38,40.00,39.45
Industrial production manager,Training and development specialist,19.1,56.7,88.10,15.53,-17.00,22.50,85.00,16.27,53.75,45.01
Purchasing manager,Accountant,47.7,57.0,88.07,1.32,-4.09,27.50,42.50,2.70,35.00,34.05
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,7.77,-8.67,70.00,10.00,8.22,40.00,36.71
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,14.71,-21.93,55.00,52.50,18.32,53.75,43.90
Chemical engineer,Medical scientist,21.6,51.8,87.70,13.02,-14.11,0.00,100.00,13.56,50.00,43.22
Operation manager,Human resources manager,37.1,76.5,87.61,6.60,-16.33,60.00,45.00,11.47,52.50,46.48
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,23.39,-39.38,60.00,52.50,31.38,56.25,38.60
Operation manager,Public relations manager,37.1,66.4,87.47,4.85,-11.38,75.00,42.50,8.11,58.75,53.98
Training and development manager,Social and community service manager,48.0,71.7,87.29,3.87,-13.33,92.50,17.50,8.60,55.00,50.27
Financial and investment analyst,Accountant,43.9,57.0,87.27,8.93,-6.29,35.00,50.00,7.61,42.50,39.26
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,21.15,-26.61,30.00,80.00,23.88,55.00,41.87
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,4.92,-8.62,95.00,7.89,6.77,51.45,47.96
Purchasing manager,Training and development specialist,47.7,56.7,86.71,4.22,-12.35,90.00,55.00,8.29,72.50,66.49
Web developer,Graphic designer,19.4,54.7,86.62,5.90,-9.41,52.50,40.54,7.66,46.52,42.96
Purchasing manager,Social and community service manager,47.7,71.7,86.53,6.52,-14.71,97.50,35.00,10.62,66.25,59.22
Chemical engineer,Biological scientist,21.6,55.0,86.36,13.32,-11.21,2.50,62.16,12.27,32.33,28.37
Dentist,Dental hygienist,39.5,95.7,86.25,27.21,-31.84,52.63,100.00,29.52,76.32,53.78
Software quality tester,Operations research analyst,44.1,55.0,86.23,4.64,-2.30,0.00,100.00,3.47,50.00,48.26
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,0.07,2.21,25.00,24.32,-1.07,24.66,24.40
Information security analyst,Training and development specialist,19.3,56.7,85.97,9.16,-13.26,2.50,100.00,11.21,51.25,45.51
Software developer,Graphic designer,20.2,54.7,85.82,9.83,-14.72,60.00,40.54,12.27,50.27,44.10
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,17.46,-24.13,72.50,52.50,20.80,62.50,49.50
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,3.97,0.76,42.50,100.00,1.61,71.25,70.10
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,9.56,-17.95,7.14,36.36,13.76,21.75,18.76
Lawyer,Paralegal,39.5,83.0,85.66,17.19,-15.43,60.00,37.50,16.31,48.75,40.80
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,9.74,-13.05,82.50,60.00,11.40,71.25,63.13
Operation manager,Social and community service manager,37.1,71.7,85.47,3.62,-12.45,97.50,15.00,8.04,56.25,51.73
Industrial production manager,Social and community service manager,19.1,71.7,85.20,15.67,-21.00,45.00,50.00,18.34,47.50,38.79
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,9.41,-20.66,0.00,50.00,15.04,25.00,21.24
Property assessor,Insurance underwriter,34.2,56.9,85.13,-2.65,0.63,5.00,90.00,-1.64,47.50,46.72
Operation manager,Human resources worker,37.1,76.5,84.98,10.11,-18.34,75.00,2.50,14.22,38.75,33.24
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,6.34,-5.23,75.00,0.00,5.78,37.50,35.33
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,3.73,-18.51,39.39,50.00,11.12,44.70,39.73
Postsecondary teacher,School psychologist,46.6,87.9,84.73,2.61,-5.63,95.00,0.00,4.12,47.50,45.54
Industrial production manager,Accountant,19.1,57.0,84.49,6.62,-8.75,22.50,97.50,7.68,60.00,55.39
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,-5.26,-0.18,97.50,0.00,-2.54,48.75,47.51
Facilities manager,Social and human service assistant,23.4,75.3,84.45,9.08,-17.90,95.00,27.50,13.49,61.25,52.99
Chemical technician,Medical scientist,35.0,51.8,84.20,15.88,-6.87,0.00,100.00,11.37,50.00,44.31
Counter and rental clerk,Order clerk,38.7,58.3,84.14,-6.19,2.20,68.75,0.00,-4.19,34.38,32.93
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,2.16,-10.39,82.50,34.48,6.28,58.49,54.82
Chemical technician,Biological scientist,35.0,55.0,83.89,10.96,-2.92,25.00,86.49,6.94,55.74,51.87
Cost estimator,Accountant,17.7,57.0,83.72,6.96,-2.36,30.00,90.00,4.66,60.00,57.20
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,0.61,-9.38,92.50,7.50,4.99,50.00,47.50
Food service manager,Food preparation worker,46.7,58.7,83.62,-14.18,-3.92,82.50,100.00,-5.13,91.25,86.57
Operation manager,Accountant,37.1,57.0,83.57,-3.12,2.49,65.00,17.50,-2.81,41.25,40.09
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,5.50,-16.47,17.86,47.83,10.98,32.84,29.23
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,0.08,-5.33,3.57,68.18,2.70,35.88,34.91
