occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Purchasing manager,Training and development specialist,47.7,56.7,65.00,25.00,10.00,45.00,40.50
Web developer,Graphic designer,19.4,54.7,92.50,32.43,1.30,62.47,61.65
Purchasing manager,Social and community service manager,47.7,71.7,95.00,2.50,12.50,48.75,42.66
Chemical engineer,Biological scientist,21.6,55.0,0.00,72.97,-10.39,36.49,32.70
Dentist,Dental hygienist,39.5,95.7,36.84,33.33,46.34,35.09,18.83
Software quality tester,Operations research analyst,44.1,55.0,0.00,95.00,-17.50,47.50,39.19
Web and digital interface designer,Graphic designer,42.7,54.7,20.00,16.22,3.90,18.11,17.40
Information security analyst,Training and development specialist,19.3,56.7,2.50,97.50,0.00,50.00,50.00
Software developer,Graphic designer,20.2,54.7,100.00,24.32,-2.60,62.16,60.55
Architectural and engineering manager,Social and community service manager,12.8,71.7,70.00,40.00,50.00,55.00,27.50
Web and digital interface designer,Operations research analyst,42.7,55.0,35.00,95.00,11.25,65.00,57.69
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,14.29,9.09,10.26,11.69,10.49
Lawyer,Paralegal,39.5,83.0,57.50,0.00,31.25,28.75,19.77
Architectural and engineering manager,Operations research analyst,12.8,55.0,57.50,77.50,3.75,67.50,64.97
Operation manager,Social and community service manager,37.1,71.7,97.50,2.50,1.25,50.00,49.38
Industrial production manager,Social and community service manager,19.1,71.7,52.50,35.00,33.75,43.75,28.98
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,0.00,85.00,4.41,42.50,40.62
Property assessor,Insurance underwriter,34.2,56.9,0.00,100.00,-3.75,50.00,48.12
Operation manager,Human resources worker,37.1,76.5,60.00,0.00,27.50,30.00,21.75
Computer systems analyst,Operations research analyst,37.8,55.0,97.50,0.00,6.25,48.75,45.70
Building cleaner,Housekeeping cleaner,38.7,88.4,27.27,55.00,30.14,41.14,28.74
Postsecondary teacher,School psychologist,46.6,87.9,70.00,0.00,5.56,35.00,33.06
Industrial production manager,Accountant,19.1,57.0,12.50,95.00,0.00,53.75,53.75
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,65.00,0.00,7.50,32.50,30.06
Facilities manager,Social and human service assistant,23.4,75.3,65.00,12.50,33.75,38.75,25.67
Chemical technician,Medical scientist,35.0,51.8,0.00,50.00,-22.73,25.00,19.32
Counter and rental clerk,Order clerk,38.7,58.3,43.75,0.00,-8.33,21.88,20.05
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,35.00,10.34,2.90,22.67,22.02
Chemical technician,Biological scientist,35.0,55.0,28.57,72.97,-23.08,50.77,39.06
Cost estimator,Accountant,17.7,57.0,5.00,92.50,-8.75,48.75,44.48
Postsecondary teacher,Teaching assistant,46.6,79.5,67.50,0.00,10.00,33.75,30.38
Food service manager,Food preparation worker,46.7,58.7,22.50,100.00,-5.00,61.25,58.19
Operation manager,Accountant,37.1,57.0,22.50,35.00,-22.50,28.75,22.28
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,3.57,47.83,5.88,25.70,24.19
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,0.00,40.91,-6.00,20.45,19.23
Software developer,Advertising sales agent,20.2,52.7,97.50,15.38,1.52,56.44,55.59
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,66.67,88.89,-1.59,77.78,76.54
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,3.57,26.32,10.61,14.94,13.36
Cost estimator,Insurance underwriter,17.7,56.9,22.50,30.00,6.25,26.25,24.61
Materials engineer,Medical scientist,13.5,51.8,2.50,71.05,-5.13,36.78,34.89
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,7.14,30.00,27.94,18.57,13.38
Property assessor,Accountant,34.2,57.0,0.00,100.00,-1.25,50.00,49.38
Postsecondary teacher,Special education teacher,46.6,86.6,77.50,0.00,6.94,38.75,36.06
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,0.00,96.88,-4.41,48.44,46.30
Painter,Artist,10.4,51.6,11.43,55.00,-4.00,33.21,31.89
Software developer,Accountant,20.2,57.0,57.50,97.50,5.00,77.50,73.62
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,10.00,52.63,24.36,31.32,23.69
Operation manager,Compliance officer,37.1,51.8,95.00,5.00,15.00,50.00,42.50
Chemists and materials scientist,Medical scientist,36.0,51.8,0.00,39.47,-7.14,19.74,18.33
Materials engineer,Biological scientist,13.5,55.0,7.50,75.68,2.60,41.59,40.51
Web and digital interface designer,Advertising sales agent,42.7,52.7,95.00,38.46,7.58,66.73,61.68
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,50.00,31.58,35.90,40.79,26.15
Property assessor,Tax preparer,34.2,66.3,2.50,78.38,-1.30,40.44,39.91
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,75.00,4.35,-2.56,39.67,38.66
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,7.14,23.08,0.00,15.11,15.11
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,0.00,93.75,6.67,46.88,43.75
Operation manager,Public relations specialist,37.1,76.2,87.50,7.50,7.50,47.50,43.94
Property assessor,Real estate broker,34.2,57.0,2.50,95.00,12.50,48.75,42.66
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,0.00,100.00,5.36,50.00,47.32
Software developer,Insurance claims and policy processing clerk,20.2,80.1,50.00,21.05,32.05,35.53,24.14
Information security analyst,Insurance underwriter,19.3,56.9,12.50,100.00,13.75,56.25,48.52
Information security analyst,Accountant,19.3,57.0,0.00,100.00,-2.50,50.00,48.75
Web developer,Advertising sales agent,19.4,52.7,100.00,11.54,3.03,55.77,54.08
Postsecondary teacher,Public relations specialist,46.6,76.2,77.50,0.00,1.25,38.75,38.27
Computer support specialist,Customer service representative,26.2,65.3,80.00,50.00,32.35,65.00,43.97
Software developer,Customer service representative,20.2,65.3,82.50,57.14,26.47,69.82,51.34
Chemists and materials scientist,Biological scientist,36.0,55.0,12.50,64.86,-4.35,38.68,37.00
Surgeon,Medical scientist,20.0,51.8,48.39,84.21,-7.25,66.30,61.49
Operation manager,Insurance underwriter,37.1,56.9,65.00,7.50,7.50,36.25,33.53
Postsecondary teacher,Social and community service manager,46.6,71.7,85.00,0.00,1.25,42.50,41.97
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,55.00,60.87,25.40,57.93,43.22
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,22.50,70.00,21.25,46.25,36.42
Information security analyst,Executive secretary,19.3,90.0,45.00,95.83,45.31,70.42,38.51
Property assessor,Loan officer,34.2,51.6,0.00,100.00,0.00,50.00,50.00
Software developer,Insurance sales agent,20.2,54.9,97.50,50.00,16.13,73.75,61.85
Lawyer,Accountant,39.5,57.0,55.00,87.50,3.75,71.25,68.58
Information security analyst,Social and community service manager,19.3,71.7,75.00,37.50,37.50,56.25,35.16
Information security analyst,Public relations specialist,19.3,76.2,40.00,57.50,16.25,48.75,40.83
Software developer,Public relations specialist,20.2,76.2,92.50,30.00,16.25,61.25,51.30
Cook,Baker,39.8,65.5,100.00,42.50,-5.00,71.25,67.69
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,61.11,56.52,1.69,58.82,57.82
Postsecondary teacher,Social and human service assistant,46.6,75.3,85.00,0.00,3.75,42.50,40.91
Lawyer,Legal secretary,39.5,96.4,57.50,6.90,46.38,32.20,17.27
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,0.00,80.00,-1.61,40.00,39.35
Chemical technician,Miscellaneous health technician,35.0,72.7,100.00,66.67,14.29,83.33,71.43
Property assessor,Social and community service manager,34.2,71.7,20.00,45.00,31.25,32.50,22.34
Mechanical engineer,Biological scientist,10.1,55.0,62.50,75.68,16.88,69.09,57.42
Web developer,Customer service representative,19.4,65.3,80.00,57.14,41.18,68.57,40.34
Web and digital interface designer,Customer service representative,42.7,65.3,85.00,46.43,33.82,65.71,43.49
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,87.50,50.00,35.00,68.75,44.69
Personal financial advisor,Loan officer,32.6,51.6,5.00,2.56,8.86,3.78,3.45
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,75.00,18.18,4.26,46.59,44.61
Software quality tester,Customer service representative,44.1,65.3,17.50,67.86,14.71,42.68,36.40
Postsecondary teacher,Insurance underwriter,46.6,56.9,65.00,2.50,6.25,33.75,31.64
Web and digital interface designer,Social and community service manager,42.7,71.7,80.00,47.50,28.75,63.75,45.42
Software developer,Insurance underwriter,20.2,56.9,75.00,67.50,12.50,71.25,62.34
Property assessor,Insurance sales agent,34.2,54.9,17.50,81.82,1.61,49.66,48.86
Software quality tester,Graphic designer,44.1,54.7,20.00,86.49,-31.17,53.24,36.65
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,2.50,57.89,19.23,30.20,24.39
Chemical technician,Ophthalmic medical technician,35.0,73.7,89.29,81.82,15.38,85.55,72.39
Lawyer,Insurance underwriter,39.5,56.9,62.50,22.50,7.50,42.50,39.31
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,90.00,52.17,33.33,71.09,47.39
Database administrator,Executive secretary,30.8,90.0,62.50,79.17,64.06,70.83,25.46
Lawyer,Loan officer,39.5,51.6,70.00,69.23,20.25,69.62,55.52
Postsecondary teacher,Mental health counselor,46.6,74.6,77.50,0.00,1.25,38.75,38.27
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,25.00,95.65,10.17,60.33,54.19
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,77.78,25.00,10.53,51.39,45.98
Occupational health and safety specialist,Order clerk,17.9,58.3,15.00,100.00,6.94,57.50,53.51
Occupational health and safety specialist,Insurance sales agent,17.9,54.9,40.00,95.45,17.74,67.73,55.71
First-line supervisor of retail sales workers,Customer service representative,44.6,65.3,0.00,100.00,3.12,50.00,48.44
Cost estimator,Graphic designer,17.7,54.7,87.50,81.08,3.90,84.29,81.01
Web and digital interface designer,Insurance sales agent,42.7,54.9,95.00,63.64,8.06,79.32,72.92
Personal financial advisor,Insurance underwriter,32.6,56.9,32.50,10.00,10.00,21.25,19.13
Food service manager,Lodging manager,46.7,61.6,97.50,72.50,-6.25,85.00,79.69
Software quality tester,Advertising sales agent,44.1,52.7,62.50,61.54,7.58,62.02,57.32
Software quality tester,Insurance underwriter,44.1,56.9,7.50,100.00,0.00,53.75,53.75
Printing press operator,Filling machine operator,24.7,57.3,97.50,97.50,1.25,97.50,96.28
Counter and rental clerk,Billing and posting clerk,38.7,91.4,68.75,56.52,-12.82,62.64,54.61
Web developer,Public relations specialist,19.4,76.2,90.00,30.00,31.25,60.00,41.25
Web and digital interface designer,Public relations specialist,42.7,76.2,85.00,60.00,23.75,72.50,55.28
Photographer,Artist,48.5,51.6,55.00,85.00,5.00,70.00,66.50
Database administrator,Compliance officer,30.8,51.8,82.50,22.50,28.75,52.50,37.41
Chief executive,Executive secretary,30.6,90.0,42.50,4.17,35.94,23.33,14.95
First-line supervisor of retail sales workers,Advertising sales agent,44.6,52.7,75.00,11.54,-8.06,43.27,39.78
Cost estimator,Advertising sales agent,17.7,52.7,95.00,42.31,0.00,68.65,68.65
Surgeon,Physician assistant,20.0,68.8,38.71,75.00,8.45,56.85,52.05
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,23.5,65.8,0.00,88.89,12.96,44.44,38.68
Web developer,Insurance sales agent,19.4,54.9,95.00,50.00,19.35,72.50,58.47
Cost estimator,Public relations specialist,17.7,76.2,72.50,52.50,40.00,62.50,37.50
Logistician,Compliance officer,38.7,51.8,70.00,72.50,3.75,71.25,68.58
Mechanical engineer,Medical scientist,10.1,51.8,70.00,78.95,23.08,74.47,57.29
Occupational health and safety specialist,Advertising sales agent,17.9,52.7,57.50,100.00,7.58,78.75,72.78
Property assessor,Lodging manager,34.2,61.6,15.00,95.00,5.00,55.00,52.25
Software quality tester,Insurance sales agent,44.1,54.9,80.00,72.73,22.58,76.36,59.12
Wastewater treatment system operator,Filling machine operator,7.3,57.3,40.00,100.00,22.50,70.00,54.25
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of food preparation and serving workers,44.1,53.5,22.73,100.00,-1.61,61.36,60.37
Computer systems manager,Compliance officer,27.7,51.8,85.00,7.50,23.75,46.25,35.27
